zip,city,name,alias,state,locale,search,branches,men_only,operating,ownership,region_id,accreditor,school_url,state_fips,women_only,main_campus,online_only,carnegie_basic,faculty_salary,ownership_peps,accreditor_code,ft_faculty_rate,carnegie_undergrad,degree_urbanization,under_investigation,price_calculator_url,carnegie_size_setting,minority_serving,religious_affiliation,open_admissions_policy,title_iv,degrees_awarded,tuition_revenue_per_fte,instructional_expenditure_per_fte,institutional_characteristics
90049-1599,Los Angeles,Mount Saint Mary's University,,CA,11,Mount Saint Mary's University,2,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.msmu.edu,6,1,1,0,18,8998,2,WASCSR,0.2916,7,,0,https://www.msmu.edu/academics/financial-aid/cost-calculator.aspx,10,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",30,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",24643,11902,"{""level"":1}"
92037-1011,La Jolla,National University,,CA,11,National University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.nu.edu,6,0,1,0,18,10270,2,WASCSR,0.2163,5,,0,www.nu.edu/npcalc/npcalc.htm,15,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""11/1/1974"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",14090,5212,"{""level"":1}"
92101,San Diego,Newschool of Architecture and Design,,CA,11,Newschool of Architecture and Design,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.newschoolarch.edu,6,0,1,0,30,7193,3,WASCSR,0.1037,11,,0,newschoolarch.edu/admissions/tuition-and-fees/net-price-calculator-2015/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""5/1/1991"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",15557,6662,"{""level"":1}"
94002-1908,Belmont,Notre Dame de Namur University,NDNU,CA,21,Notre Dame de Namur University NDNU,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ndnu.edu,6,0,1,0,19,9117,2,WASCSR,0.2228,7,,0,www.ndnu.edu/financial-aid/net-price-calculator/,10,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",30,2,"{""approval_date"":""1/1/1966"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18765,9113,"{""level"":1}"
90041-3392,Los Angeles,Occidental College,Oxy,CA,11,Occidental College Oxy,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.oxy.edu,6,0,1,0,21,11293,2,WASCSR,0.7649,14,,0,https://apps.oxy.edu/finaidcalc/,11,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/1/1966"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",29134,20429,"{""level"":1}"
90045-3505,Los Angeles,Otis College of Art and Design,"Otis Art Institute, Otis Parsons, Otis/Parsons",CA,11,"Otis College of Art and Design Otis Art Institute, Otis Parsons, Otis/Parsons",1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.otis.edu,6,0,1,0,30,7871,2,WASCSR,0.1646,11,,0,www.otis.edu/otis-net-price-calculator,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""8/29/1968"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",33696,21333,"{""level"":1}"
92831-3199,Fullerton,Hope International University,Hope|HIU|College of Arts and Sciences|College of Business and Management|College of Education|Pacific Christian of Ministry and Biblical Studies|College of Psychology and Counseling|Fullerton|Orange County|California|,CA,21,Hope International University Hope|HIU|College of Arts and Sciences|College of Business and Management|College of Education|Pacific Christian of Ministry and Biblical Studies|College of Psychology and Counseling|Fullerton|Orange County|California|,2,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.hiu.edu,6,0,1,0,19,4582,2,WASCSR,0.2394,7,,0,www.hiu.edu/undergrad/finaid/,10,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",48,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",12251,5527,"{""level"":1}"
94304-1337,Palo Alto,Palo Alto University,Pacific Graduate School of Psychology,CA,41,Palo Alto University Pacific Graduate School of Psychology,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.paloaltou.edu,6,0,1,0,26,12264,2,WASCSR,0.4818,11,,0,,6,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,,"{""approval_date"":""7/29/1980"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",26399,15442,"{""level"":1}"
91103,Pasadena,Pacific Oaks College,Pacific Oaks Education Corporation,CA,12,Pacific Oaks College Pacific Oaks Education Corporation,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pacificoaks.edu,6,0,1,0,32,6038,2,WASCSR,0.0455,5,,0,www.pacificoaks.edu/admissions/cost-financial-aid/financial-aid-services/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",23761,8224,"{""level"":1}"
90010-2263,Los Angeles,Pacific States University,,CA,11,Pacific States University,1,0,1,2,8,Accrediting Commission of Career Schools and Colleges,www.psuca.edu,6,0,1,0,29,3500,2,ACCSC,,0,,0,www.psuca.edu/net-price-calculator/,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""1/30/1998"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",11831,3509,"{""level"":1}"
94508-9707,Angwin,Pacific Union College,PUC,CA,41,Pacific Union College PUC,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.puc.edu,6,0,1,0,22,6285,2,WASCSR,0.9348,11,,0,https://puc.studentaidcalculator.com/survey.aspx,11,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",95,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",16868,11055,"{""level"":1}"
95211-0197,Stockton,University of the Pacific,Pacific | UOP | University of Pacific | Pacific University | U. Pacific | Univ. of Pacific | U. of Pacific,CA,11,University of the Pacific Pacific | UOP | University of Pacific | Pacific University | U. Pacific | Univ. of Pacific | U. of Pacific,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pacific.edu,6,0,1,0,17,10587,2,WASCSR,0.4884,14,,0,https://pacific.studentaidcalculator.com/survey.aspx,14,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",32936,20858,"{""level"":1}"
90263,Malibu,Pepperdine University,Pepperdine University,CA,21,Pepperdine University Pepperdine University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pepperdine.edu/,6,0,1,0,17,12387,2,WASCSR,0.6016,14,,0,https://seaver.pepperdine.edu/admission/financial-aid/undergraduate/npc/,14,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",74,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",31625,12078,"{""level"":1}"
91711-6101,Claremont,Pitzer College,Pitzer|Pfizer|PZ|PTZ|PIT,CA,21,Pitzer College Pitzer|Pfizer|PZ|PTZ|PIT,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.pitzer.edu,6,0,1,0,21,11104,2,WASCSR,0.872,14,,0,https://npc.collegeboard.org/student/app/pitzer,11,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/1/1966"",""eligibility_type"":1}","{""highest"":3,""predominant"":3,""predominant_recoded"":3}",50757,24333,"{""level"":1}"
92106-2899,San Diego,Point Loma Nazarene University,PLNU,CA,11,Point Loma Nazarene University PLNU,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.pointloma.edu,6,0,1,0,18,10189,2,WASCSR,1,15,,0,www.pointloma.edu/NPC,14,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",59,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",21015,8576,"{""level"":1}"
